system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,ID,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,Target,WVP,.geo
00000000000000000000_0,0.02095,0.1172,0.3745,0.362,0.1506,0.2026,0.241,0.26915,0.26945,0.2815,0.2698,0.2868,0.27735,ID_SJ098E7S2SY9,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0153,0.02065,0.0246,0,0.2357,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.76366361241016,34.162526013187545]}"
00000000000000000001_0,0.0216,0.0483,0.2089,0.135,0.0634,0.0928,0.1078,0.1464,0.2278,0.2598,0.2902,0.2901,0.3229,ID_CWCD60FGJJYY,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0065,0.0094,0.0109,0,0.1236,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.4920022678201,32.0757396081779]}"
00000000000000000004_0,0.0346,0.06555,0.27355,0.23505,0.09915,0.1526,0.1975,0.2265,0.25605,0.2757,0.2511,0.2795,0.2831,ID_C20R2C0AYIT0,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.01005,0.01555,0.02005,0,0.3175,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.52840525412758,14.419083204223469]}"
00000000000000000005_0,0.0499,0.0245,0.1882,0.1138,0.0297,0.0849,0.0608,0.1449,0.2694,0.2975,0.3068,0.3199,0.3267,ID_MMU0PFMDQ7FW,3.0E-4,0.0,0.0,0.0,0.0,4.0E-4,0.0031,0.0087,0.0061,0,0.3378,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.34083702280342,14.204385851318904]}"
0000000000000000000a_0,0.0218,0.0366,0.1705,0.12385,0.05675,0.0802,0.08255,0.1091,0.1784,0.19675,0.2104,0.20995,0.2113,ID_OGEL0LA7Y94S,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.00575,0.00815,0.0085,0,0.1311,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.17606478239526,32.29420988527577]}"
0000000000000000000c_0,0.02025,0.1337,0.3753,0.36075,0.1637,0.2131,0.2497,0.27185,0.2669,0.2788,0.2722,0.2814,0.28755,ID_GYHRWRLEY9W3,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.01665,0.02165,0.02535,0,0.2087,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.34585717376616,34.29260206632806]}"
0000000000000000000d_0,0.02035,0.15295,0.31705,0.29345,0.1768,0.2223,0.23795,0.2658,0.27025,0.27995,0.26515,0.28305,0.2635,ID_LLW4ZVLCTH7Y,0.0024,0.0,0.0,0.0,0.0,8.0E-4,0.01815,0.02235,0.02455,0,0.2152,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.36696758294298,34.303202186680664]}"
0000000000000000000e_0,0.0213,0.03705,0.17755,0.1047,0.04745,0.0736,0.07755,0.11845,0.2061,0.23855,0.2591,0.26435,0.2715,ID_7VVCEG83E9SF,1.0E-4,0.0,0.0,0.0,0.0,4.0E-4,0.0049,0.00765,0.00795,0,0.13425,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.207056659697386,32.11041457814491]}"
00000000000000000010_0,0.0203,0.12225,0.3997,0.3681,0.1715,0.2348,0.2839,0.30915,0.313,0.32235,0.3143,0.32635,0.2984,ID_OVT4MUGA4Z22,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.01755,0.0238,0.0255,0,0.23535,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.75306349205755,34.119137384964574]}"
00000000000000000012_0,0.0499,0.02,0.1456,0.1067,0.0435,0.0854,0.1028,0.1427,0.2361,0.2753,0.2737,0.2668,0.2224,ID_DXWZP0E8FG9E,1.0E-4,0.0,0.0,0.0,0.0,7.0E-4,0.0044,0.0088,0.0106,0,0.3389,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.42527865951066,14.258644094479722]}"
00000000000000000015_0,0.0346,0.04335,0.17125,0.12175,0.05145,0.09205,0.0992,0.1453,0.1997,0.2147,0.21225,0.2302,0.2571,ID_IECISSYAN80G,2.0E-4,0.0,0.0,0.0,0.0,7.0E-4,0.0055,0.0093,0.0101,0,0.3187,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.30131115030216,14.439025803530923]}"
00000000000000000017_0,0.02035,0.09435,0.24165,0.18145,0.09715,0.1303,0.1368,0.1644,0.25995,0.29245,0.3071,0.3113,0.3123,ID_A14I5NDAO8F7,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0101,0.0132,0.014,0,0.2223,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.37271680076134,34.29790212650436]}"
00000000000000000018_0,0.0209,0.1169,0.3772,0.3156,0.1404,0.1796,0.2,0.2599,0.3093,0.327,0.3186,0.3351,0.3205,ID_Z79AVIRGE3E1,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0144,0.0183,0.0205,0,0.1712,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.67203545342997,34.060297733854746]}"
0000000000000000001b_0,0.02015,0.12755,0.38535,0.36765,0.1609,0.2176,0.2553,0.2858,0.29025,0.29935,0.29005,0.303,0.30625,ID_QPA2ZDG5PY1Q,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.01635,0.0221,0.02545,0,0.21305,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.34001812441939,34.28829015296428]}"
